Forest Event Names,Learndash Group,Evaluation Form Names,Confimred Registrants,Instrument Sales,Instructor,Venue Name,Address 1,Address 2,City,State,Zipcode,Start Date,Day 1 Start Time,Day 1 End Time,End Date,Day 2 Start Time,Day 2 End Time,Full Address,Headline
"Eau Claire, WI-2025-08-16-Essential In-Person",26025941,"Eau Claire, WI-2025-08-16: Robert Stow",11,,Robert Stow,McPhee Centers,509 University Drive,,Eau Claire,WI,54702,8/16/2025,8:00 AM,6:00 PM,8/16/2025,8:00 AM,6:00 PM,"McPhee Center 509 University Drive Eau Claire, WI 54702","Essential Hybrid Training, which includes an online pre-course/intro."
Randall Lazicki-2025-08-16-Essential Virtual Cancelled,26025951,Essential Virtual -2025-08-16: Randall Lazicki,Cancelled,,Randall Lazicki,,,,,,,8/16/2025,11:00 AM,3:30 PM,8/17/2025,11:00 AM,3:30 PM,",",Live Online Essential Training
"Phoenix, AZ-2025-08-23-Essential In-Person",26025714,"Phoenix, AZ-2025-08-23: Larry Munger",,,Larry Munger,,15905 South 46th Street,Suite 140,Phoenix,AZ,85048,8/23/2025,8:00 AM,6:00 PM,8/23/2025,8:00 AM,6:00 PM,"15905 South 46th Street Suite 140 Phoenix, AZ 85048","Essential Hybrid Training, which includes an online pre-course/intro."
"Lemont, IL-08/23/2025-Essential Hybrid Cancelled / Changed",,"Lemont, IL -8/23/2025: Kristin White",,,Kristin White,Duly Health and Care,13462 Archer Avenue,,Lemont,IL,60439,8/23/2025,8:00 AM,6:00 PM,8/23/2025,8:00 AM,6:00 PM,"13462 Archer Avenue Lemont, IL 60439","Essential Hybrid Training, which includes an online pre-course/intro. Chicago area."
"Westmont, IL-2025-08-23-Essential In-Person",26025852,"Westmont, IL-2025-08-23: Kristin White",21,1,Kristin White,,303 West Ogden Avenue,,Westmont,IL,60559,8/23/2025,8:00 AM,6:00 PM,8/23/2025,8:00 AM,6:00 PM,"303 West Ogden Avenue  Westmont, IL 60559","Essential Hybrid Training, which includes an online pre-course/intro.  Chicago area."
"Terre Haute, IN-2025-08-23-Essential In-Person Onsite",26031996,"Terre Haute, IN-2025-08-23: Tim Demchak",16,,Tim Demchak,,567 North 5th Street,,Terre Haute,IN,47809,8/23/2025,8:00 AM,6:00 PM,8/23/2025,8:00 AM,6:00 PM,"567 North 5th Street  Terre Haute, IN 47809",Essential Hybrid Onsite for DPT students at Indiana State University
"Terre Haute, IN-2025-08-24-Essential In-Person Onsite",27396927,"Terre Haute, IN-2025-08-24: Tim Demchak",15,,Tim Demchak,,567 North 5th Street,,Terre Haute,IN,47809,8/24/2025,8:00 AM,6:00 PM,8/24/2025,8:00 AM,6:00 PM,"567 North 5th Street  Terre Haute, IN 47809",Private Onsite Training for DPT students at Indiana State University
"Portland, ME-09/06/2025-Essential Hybrid",26012320,"Portland, ME -9/06/2025: Kelsey Taylor",3,,Kelsey Taylor,Holiday Inn by the Bay,88 Spring St,,Portland,ME,4101,9/6/2025,8:00 AM,6:00 PM,9/6/2025,8:00 AM,6:00 PM,"88 Spring St Portland, ME 04101","Essential Hybrid Training, which includes an online pre-course/intro. 45 minutes south of August, ME."
"Cleveland, OH-2025-09-13-Essential In-Person",26025537,"Cleveland, OH-2025-09-13: Dr Reena Pathak",2,,Dr Reena Pathak,,1810 West 25th Street,Unit 1,Cleveland,OH,44113,9/13/2025,8:00 AM,6:00 PM,9/13/2025,8:00 AM,6:00 PM,"1810 West 25th Street Unit 1 Cleveland, OH 44113","Essential Hybrid Training, which includes an online pre-course/intro."
Kelley-09/13/2025-Essential Virtual,,Essential Virtual-2025-09-13: Greg Kelley,2,,Greg Kelley,,,,,,,9/13/2025,11:00 AM,3:30 PM,9/14/2025,11:00 AM,3:30 PM,,"Live Online Essential Training, which includes an online pre-course/intro"
