ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Sold individually?,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,MnM Content Source,MnM Child Category Ids,MnM Child Items (JSON-encoded),MnM Minimum Container Size,MnM Maximum Container Size,MnM Per-Item Pricing,MnM Packing Mode,MnM Weight Cumulative,MnM Per-Item Discount,MnM Layout Override,MnM Layout,MnM Add to Cart Form Location,Brands,Bundled Items (JSON-encoded),Min Bundle Size,Max Bundle Size,Bundle Contents Virtual,Bundle Aggregate Weight,Bundle Layout,Bundle Group Mode,Bundle Cart Editing,Bundle Sold Individually,Bundle Form Location,Bundle Sells,Bundle Sells Title,Bundle Sells Discount
25995731,"simple, virtual",20a87d896b2b,,"Essential Training - Eau Claire, WI",1,0,hidden,"Overview
\nThe Essential In-Person Training introduces students and clinicians to Graston Technique (GT) therapy, its clinical applications, physiological effects, benefits, and potential contraindications. The course begins with a 3-hour, self-paced pre-course followed by a full-day, hands-on, in-person session hosted by a GT Instructor at a clinic or facility near you. This training enables GT Providers to effectively treat scar tissue and fascial restrictions, improving and maintaining optimal range of motion.","<h3><span style=""font-weight: 400;"">Overview</span></h3>
\n<span style=""font-weight: 400;"">The primary objective of the Essential course is to develop an understanding of Graston Technique© therapy (GT) and how to apply it into the full spectrum of musculoskeletal treatment approaches. The course also instructs clinicians on the proper use of the instruments.</span>
\n
\n<b>By the end of the training, you will be able to:</b>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Demonstrate a working knowledge of the Graston Technique© brand instruments, GT treatments, potential effects, and benefits.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Identify and discuss the indications, contraindications (relative and absolute) of GT.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Review and develop a better understanding of soft tissue injury, healing and potential reactivity to instrument-assisted soft tissue mobilization (therapeutic and adverse).</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Develop skill and competence in the GT application of IASTM to the major regions of soft tissue.</span></li>
\n</ul>",,,none,,1,1,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/05/EauClaireWI_In-Person_Essential.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26012317,simple,,,"Essential Training - Portland, ME (Sep 6, 2025)",1,0,visible,,"<p><strong>Date:</strong> September 6, 2025<br><strong>Location:</strong> <span class=""c-beta-button__text "">Holiday Inn by the Bay</span><br><strong>Instructor:</strong> Kelsey Taylor</p><p><strong>Earn 12 CEUs</strong></p><p><strong>Event Overview</strong></p><p>Join us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.</p><p><strong>What to Expect</strong></p><ul><li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li><li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li><li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li></ul><p><strong>Why Attend?</strong></p><ul><li>Earn <strong>12 CEUs</strong> upon completion.</li><li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li><li>Network with fellow healthcare professionals and expand your professional connections.</li></ul><p><strong>Don’t miss this opportunity to elevate your expertise in the Graston Technique® and provide even better care for your patients!</strong></p>",,,taxable,,1,1,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/07/PortlandME__In-Person_Essential_In-Person_Essential.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26017859,simple,,,"Essential Virtual Training - (Apr 26, 2025)",1,1,hidden,Live Online Essential Training for CORA,"<strong>Event Details:</strong>
\n<ul>
\n 	<li><strong>Date:</strong> Apr 26, 2025</li>
\n 	<li><strong>Format:</strong> 3-hour self-paced pre-course + live virtual sessions</li>
\n 	<li><strong>Platform:</strong> Zoom</li>
\n 	<li><strong>Instructor:</strong> Michael Racette</li>
\n 	<li><strong>CEUs:</strong> 12 Continuing Education Units</li>
\n</ul>
\n<strong>Join Our Comprehensive Graston Technique Virtual Training and Earn 12 CEUs!</strong>
\n
\nElevate your professional skills with our Essential Virtual Training on Apr 26, 2025. This flexible program begins with a 3-hour self-paced pre-course, allowing you to learn the fundamentals at your convenience. Following the pre-course, join live group sessions hosted on Zoom by renowned instructor Michael Racette, an expert in the Graston Technique (GT).
\n
\n<strong>Course Highlights:</strong>
\n<ul>
\n 	<li><strong>Hands-On Lab Sessions:</strong> Experience practical training covering key body areas, such as the knee, hip, spine, shoulder, and more.</li>
\n 	<li><strong>Expert-Led Instruction:</strong> Gain in-depth knowledge and skills with guidance from Michael Racette, ensuring mastery in instrument-assisted soft tissue mobilization (IASTM).</li>
\n 	<li><strong>Earn 12 CEUs:</strong> This course qualifies for 12 Continuing Education Units (CEUs), helping you meet your professional development goals while enhancing patient outcomes.</li>
\n</ul>
\n<strong>Why Attend This Training?</strong>
\n<ul>
\n 	<li><strong>Flexible Learning:</strong> Start with a self-paced pre-course and continue with live sessions tailored to your schedule.</li>
\n 	<li><strong>Professional Growth:</strong> Expand your clinical skills and earn valuable CEUs.</li>
\n 	<li><strong>Expert Guidance:</strong> Learn directly from Michael Racette, a leading authority in the field of soft tissue mobilization.</li>
\n</ul>
\n<strong> Secure your spot in the Essential Virtual Training and take your practice to the next level.</strong>
\n
\nThis training is perfect for healthcare professionals looking to deepen their expertise in the Graston Technique and enhance patient care. Don’t miss this opportunity to advance your skills and achieve your certification with 12 CEUs!",,,taxable,,1,1,650,"Essential Training > ESS Virtual Training, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/08/Essential_Virtual_Training.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
